,Importance
engine_capacity_cc,0.034263160327691965
latitude,0.033593302850201505
longitude,0.032736414152072756
age_of_vehicle,0.0274884105996476
speed_limit,0.02105950093883978
number_of_vehicles,0.01873796988811494
number_of_casualties,0.01612055397515766
vehicle_manoeuvre_Going ahead other,0.01004016233058373
urban_or_rural_area_Urban,0.009620052526998567
first_point_of_impact_Front,0.009458185978268098
junction_detail_T or staggered junction,0.009042700930531515
junction_location_Approaching junction or waiting/parked at junction approach,0.008991869597618198
urban_or_rural_area_Rural,0.00897052858782285
junction_location_Mid Junction - on roundabout or on main road,0.008912909491221047
first_point_of_impact_Back,0.00884621647713994
vehicle_type_Car,0.008763861422315592
time_period_office_hours,0.008654772373777079
sex_of_driver_Male,0.008302302829730001
propulsion_code_Heavy oil,0.008271253965091246
road_type_Single carriageway,0.00811818671171512
time_period_afternoon_rush,0.008040233178137589
vehicle_direction_from_South East,0.00776384223680851
light_conditions_Daylight,0.007695363401816838
age_band_of_driver_26 - 35,0.007538773648728058
propulsion_code_Petrol,0.0075317956892038285
junction_detail_Roundabout,0.007490838958359221
vehicle_direction_to_South East,0.0074416840743395905
road_surface_conditions_Dry,0.007413021286841053
road_surface_conditions_Wet or damp,0.007309109595067284
sex_of_driver_Female,0.007264281298582455
age_band_of_driver_36 - 45,0.007230465049728315
first_road_class_A,0.007227725601162364
age_band_of_driver_46 - 55,0.007221827759552613
day_of_week_Thursday,0.006909634968975144
vehicle_leaving_carriageway_Did not leave carriageway,0.006875264750788756
pedestrian_crossing_physical_facilities_No physical crossing facilities within 50 metres,0.006838798496795298
day_of_week_Friday,0.006793510141690115
vehicle_manoeuvre_Turning right,0.0067284238287469
driver_home_area_type_Urban area,0.006688507808016476
junction_detail_Crossroads,0.006598727198536354
first_road_class_B,0.006597951860449
day_of_week_Saturday,0.006537314903207684
day_of_week_Wednesday,0.006505661193455366
day_of_week_Tuesday,0.006501105263382862
vehicle_direction_to_North,0.006422978595487374
vehicle_direction_from_North,0.006416533698186624
junction_control_Give way or uncontrolled,0.006234585938704273
time_period_morning_rush,0.006219747347925813
light_conditions_Darkness - lights lit,0.006168547444793464
junction_control_Auto traffic signal,0.006135073397662965
first_point_of_impact_Nearside,0.006115245758491385
day_of_week_Monday,0.006075113717004464
vehicle_direction_from_East,0.006059235531119875
vehicle_direction_from_West,0.005927005056139127
time_period_evening,0.0059138582903198265
vehicle_direction_to_West,0.005913509307923812
vehicle_type_Motorcycle over 500cc,0.005901696656136841
first_point_of_impact_Offside,0.005897976504750521
road_type_Dual carriageway,0.00584388819906493
vehicle_direction_to_East,0.005823941303100511
skidding_and_overturning_None,0.005813969100665379
age_band_of_driver_56 - 65,0.0058043530033645985
day_of_week_Sunday,0.005785391502911038
weather_conditions_Fine no high winds,0.005745697312617451
