,Importance
longitude,0.03383154814312794
engine_capacity_cc,0.03310528257468804
latitude,0.032744458357624386
age_of_vehicle,0.026157433289759866
speed_limit,0.022819809257582875
number_of_vehicles,0.019345711939474083
number_of_casualties,0.016439344154597916
urban_or_rural_area_Urban,0.009904600892747674
vehicle_manoeuvre_Going ahead other,0.009531597279822371
junction_detail_T or staggered junction,0.009164472825586955
first_point_of_impact_Back,0.009163866442955172
junction_location_Mid Junction - on roundabout or on main road,0.009007541982623523
junction_location_Approaching junction or waiting/parked at junction approach,0.008889762034249665
first_point_of_impact_Front,0.008878518179042488
vehicle_type_Car,0.008836239500303936
sex_of_driver_Female,0.008589994830923165
urban_or_rural_area_Rural,0.00833572981623643
time_period_office_hours,0.008269451897171582
road_type_Single carriageway,0.008259285394800612
time_period_afternoon_rush,0.00812775349268273
propulsion_code_Heavy oil,0.008035192830602845
age_band_of_driver_26 - 35,0.008014619316703903
propulsion_code_Petrol,0.007893844274928417
vehicle_direction_to_South East,0.00787881366312174
vehicle_direction_from_South East,0.007767458518551804
light_conditions_Daylight,0.00767271389151224
road_surface_conditions_Wet or damp,0.007659424234807108
pedestrian_crossing_physical_facilities_No physical crossing facilities within 50 metres,0.0074457154487797715
junction_detail_Roundabout,0.007408179017937684
first_road_class_A,0.007327049170652994
road_surface_conditions_Dry,0.007256935404390656
age_band_of_driver_36 - 45,0.007141451790475315
first_road_class_B,0.006955063136953347
sex_of_driver_Male,0.006913607774739082
day_of_week_Thursday,0.006890474968835745
light_conditions_Darkness - lights lit,0.006779527583328469
age_band_of_driver_46 - 55,0.006761604070923068
driver_home_area_type_Urban area,0.006722348948641971
vehicle_manoeuvre_Turning right,0.006599516892521633
vehicle_leaving_carriageway_Did not leave carriageway,0.006552670815405965
day_of_week_Friday,0.006549084805313671
vehicle_direction_to_North,0.006515145928273936
day_of_week_Saturday,0.006511389594058099
vehicle_direction_from_North,0.006507580743826808
junction_detail_Crossroads,0.00647093478948182
junction_control_Give way or uncontrolled,0.006445777550153684
day_of_week_Wednesday,0.006432971352598367
first_point_of_impact_Offside,0.006380711224513736
vehicle_direction_to_West,0.006234965570242131
day_of_week_Monday,0.006140299963108446
day_of_week_Tuesday,0.0061193247972168505
vehicle_direction_from_East,0.006081734396886483
vehicle_direction_to_East,0.006032473677196426
junction_control_Auto traffic signal,0.0060020494421286685
day_of_week_Sunday,0.005929980877464905
road_type_Dual carriageway,0.0059231373761135355
time_period_evening,0.005908234334541945
time_period_morning_rush,0.005802797085482867
vehicle_direction_from_West,0.005791452588867678
age_band_of_driver_56 - 65,0.005771999999960244
vehicle_type_Motorcycle over 500cc,0.005725573188426847
weather_conditions_Fine no high winds,0.005546436931955485
driver_imd_decile_Less deprived 40-50%,0.005536220806464854
driver_imd_decile_More deprived 20-30%,0.0055022140554650874
first_point_of_impact_Nearside,0.005501453780870569
driver_imd_decile_Most deprived 10%,0.005447158818896303
driver_imd_decile_More deprived 30-40%,0.0054382583276347376
driver_imd_decile_More deprived 10-20%,0.005436876858379759
age_band_of_driver_21 - 25,0.0053280476317001235
hit_object_off_carriageway_None,0.005205524460701317
skidding_and_overturning_None,0.005196684321375885
road_type_Roundabout,0.005170034932948643
driver_imd_decile_Less deprived 20-30%,0.005099641590839298
driver_home_area_type_Rural,0.005064137528703959
junction_location_Cleared junction or waiting/parked at junction exit,0.005064115390574049
vehicle_direction_to_North West,0.005054147505200503
driver_imd_decile_More deprived 40-50%,0.004917953067168185
driver_imd_decile_Less deprived 10-20%,0.00491172729162772
driver_imd_decile_Less deprived 30-40%,0.004804761325315671
vehicle_direction_from_North East,0.004793157463822166
weather_conditions_Raining no high winds,0.004713974356291072
time_period_night,0.004630574577600971
vehicle_direction_to_South West,0.004627896479986079
vehicle_direction_from_North West,0.004627321823475731
vehicle_direction_to_North East,0.0046194187540876345
pedestrian_crossing_physical_facilities_Pedestrian phase at traffic signal junction,0.004504193308663842
vehicle_type_Goods 7.5 tonnes mgw and over,0.004498762369358365
vehicle_direction_from_South West,0.0044510640129671025
driver_home_area_type_Small town,0.0044239947571453365
age_band_of_driver_Over 75,0.004187926350754073
junction_location_Entering main road,0.004169028683229867
age_band_of_driver_16 - 20,0.004165636469563385
vehicle_manoeuvre_Waiting to go - held up,0.004146775077080364
driver_imd_decile_Least deprived 10%,0.00412741724762191
trunk_road_flag_Trunk (Roads managed by Highways England),0.004068969970929496
"pedestrian_crossing_physical_facilities_Pelican, puffin, toucan or similar non-junction pedestrian light crossing",0.00406783043970326
age_band_of_driver_66 - 75,0.004055502519453992
vehicle_manoeuvre_Slowing or stopping,0.003916075224708189
skidding_and_overturning_Skidded,0.003895448085324807
first_point_of_impact_Did not impact,0.0037055566204725293
vehicle_type_Motorcycle 125cc and under,0.0036964744154712207
trunk_road_flag_Non-trunk,0.003577464918267369
vehicle_leaving_carriageway_Nearside,0.003462946445022519
vehicle_manoeuvre_Moving off,0.003351788687666112
time_period_early_morning,0.00320401383272453
junction_location_Leaving main road,0.003201417495388112
junction_detail_Private drive or entrance,0.0031715910549090175
vehicle_type_Van / Goods 3.5 tonnes mgw or under,0.0031495384564454365
junction_location_Entering roundabout,0.0029701215655606166
pedestrian_crossing_physical_facilities_Central refuge,0.002888652064446811
light_conditions_Darkness - no lighting,0.002886271661871824
vehicle_manoeuvre_Turning left,0.002793154203543502
towing_and_articulation_Articulated vehicle,0.0025695632201673028
hit_object_in_carriageway_None,0.002550953610221171
vehicle_leaving_carriageway_Offside,0.0023894897159734457
junction_detail_Slip road,0.0023331151248771166
junction_location_Leaving roundabout,0.0022870872493125946
vehicle_manoeuvre_Going ahead right-hand bend,0.0020277380852996314
pedestrian_crossing_physical_facilities_Zebra,0.001972806154827436
towing_and_articulation_No tow/articulation,0.0019423774909425634
skidding_and_overturning_Overturned,0.0017921728402388207
vehicle_manoeuvre_Waiting to turn right,0.0017455656073495265
special_conditions_at_site_None,0.0017265185356701014
vehicle_manoeuvre_Overtaking moving vehicle - offside,0.0016958763642730852
propulsion_code_Hybrid electric,0.0016840698908596324
vehicle_manoeuvre_Going ahead left-hand bend,0.0016559892830894185
vehicle_type_Bus or coach (17 or more pass seats),0.0015859841997884765
junction_detail_More than 4 arms (not roundabout),0.0015472909829384264
skidding_and_overturning_Skidded and overturned,0.0015394061538581648
first_road_number_6.0,0.0014982925860899032
weather_conditions_Other,0.001466118786469612
vehicle_type_Motorcycle over 125cc and up to 500cc,0.0013687521890605227
vehicle_location_restricted_lane_On main c'way - not in restricted lane,0.0013655210497375656
hit_object_off_carriageway_Tree,0.0013599030511532385
hit_object_in_carriageway_Kerb,0.0012745750715128562
road_type_One way street,0.0012745554121879406
road_type_Slip road,0.001263284544752813
vehicle_type_Taxi/Private hire car,0.0012450548317457393
vehicle_leaving_carriageway_Straight ahead at junction,0.0011955531066847158
carriageway_hazards_None,0.0010978062154720358
hit_object_off_carriageway_Other permanent object,0.0010866157589856913
first_road_class_Motorway,0.0010858148278867494
first_road_number_38.0,0.0010604077857841027
junction_detail_Mini-roundabout,0.0010360849702121127
first_road_number_5.0,0.0010077477555483017
hit_object_off_carriageway_Road sign or traffic signal,0.0010072915438269821
weather_conditions_Fine + high winds,0.0009980349905393566
special_conditions_at_site_Roadworks,0.0009592839934880478
hit_object_off_carriageway_Wall or fence,0.0009490534663492482
pedestrian_crossing_human_control_Control by other authorised person,0.0009467535772777025
pedestrian_crossing_human_control_None within 50 metres ,0.0009375166269432403
first_road_number_1.0,0.0009103238913460471
weather_conditions_Fog or mist,0.0009010093336598703
first_road_number_52.0,0.0008964586874969317
first_road_number_41.0,0.0008630991437984648
junction_control_Stop sign,0.0008605489070954863
vehicle_manoeuvre_Overtaking static vehicle - offside,0.0008462234696022377
first_road_number_57.0,0.0008398556352549007
vehicle_direction_from_Parked,0.000821543141704547
weather_conditions_Raining + high winds,0.0008165849707595188
vehicle_manoeuvre_U-turn,0.0007729284092832956
first_road_number_23.0,0.0007608092706601222
hit_object_in_carriageway_Parked vehicle,0.0007486249140153937
first_road_number_259.0,0.0007439915788185179
vehicle_manoeuvre_Parked,0.0007188383884897802
hit_object_in_carriageway_Bollard or refuge,0.0007113236378946067
first_road_number_10.0,0.0007074314071266404
first_road_number_3.0,0.0007072650419781623
hit_object_off_carriageway_Lamp post,0.000706182349051121
vehicle_direction_to_Parked,0.0006977892756353119
first_road_number_4.0,0.0006919158681464325
